mean-field prediction derived and checkpointed BEFORE measurement:
  chi_1 = f'(1) = 1.000000  -> flat shape, p_l = 1/32 = 0.03125
  flat top-5 share = 0.1562, flat last-3 share = 0.0938
  refinement R_l (secondary, reported not gated), l=0,8,16,24,31: 6.180, 5.820, 5.224, 4.027, 1.000
net 202 layer 26: v_l reps = 9.5537e-04 1.2085e-03 1.3623e-03   1-corr = 0.0305
net 202 layer 27: v_l reps = 1.4550e-03 8.4150e-04 1.4057e-03   1-corr = 0.0366
net 202 layer 28: v_l reps = 1.4226e-03 9.5257e-04 4.2968e-04   1-corr = 0.0277
net 202 layer 29: v_l reps = 5.8531e-04 3.3659e-04 5.3335e-04   1-corr = 0.0142
net 202 layer 30: v_l reps = 9.5521e-04 2.1744e-04 4.3543e-04   1-corr = 0.0105
net 202 layer 31: v_l reps = 3.6907e-04 3.8322e-04 4.2615e-04   1-corr = 0.0081
net 202: var(r)=1.5620e-02  dev-vs-flat max=26.29  dev-vs-refinement max=10.30  top5=[0, 1, 3, 4, 2] share=0.409  last3 share=0.004  (33.7s)
net 303 layer  0: v_l reps = 2.1709e-02 2.1872e-02 2.2340e-02   1-corr = 1.0018
net 303 layer  1: v_l reps = 1.8931e-02 2.2063e-02 2.1576e-02   1-corr = 0.8822
net 303 layer  2: v_l reps = 1.4788e-02 1.4185e-02 1.4104e-02   1-corr = 0.7552
net 303 layer  3: v_l reps = 1.4607e-02 1.4340e-02 1.2126e-02   1-corr = 0.6425
net 303 layer  4: v_l reps = 1.3751e-02 1.2670e-02 1.1738e-02   1-corr = 0.6328
net 303 layer  5: v_l reps = 1.1522e-02 9.6062e-03 9.3611e-03   1-corr = 0.5205
net 303 layer  6: v_l reps = 8.1219e-03 1.0814e-02 8.7786e-03   1-corr = 0.4466
net 303 layer  7: v_l reps = 6.7837e-03 6.5760e-03 7.1875e-03   1-corr = 0.3472
net 303 layer  8: v_l reps = 5.3961e-03 5.8184e-03 6.8246e-03   1-corr = 0.2810
net 303 layer  9: v_l reps = 5.0872e-03 6.3263e-03 6.5524e-03   1-corr = 0.2634
net 303 layer 10: v_l reps = 6.0151e-03 7.2785e-03 6.1815e-03   1-corr = 0.2871
net 303 layer 11: v_l reps = 3.9496e-03 4.0175e-03 5.1747e-03   1-corr = 0.1942
net 303 layer 12: v_l reps = 3.7583e-03 3.3479e-03 3.1510e-03   1-corr = 0.1486
net 303 layer 13: v_l reps = 3.1513e-03 3.6364e-03 4.2553e-03   1-corr = 0.1711
net 303 layer 14: v_l reps = 3.0950e-03 2.4911e-03 3.1003e-03   1-corr = 0.1175
net 303 layer 15: v_l reps = 2.0334e-03 2.6704e-03 2.8957e-03   1-corr = 0.1045
net 303 layer 16: v_l reps = 1.5469e-03 2.3614e-03 1.6467e-03   1-corr = 0.0834
net 303 layer 17: v_l reps = 1.5676e-03 1.2130e-03 2.7516e-03   1-corr = 0.0808
net 303 layer 18: v_l reps = 1.4649e-03 2.2933e-03 1.8127e-03   1-corr = 0.0747
net 303 layer 19: v_l reps = 2.0490e-03 1.0497e-03 1.8754e-03   1-corr = 0.0706
net 303 layer 20: v_l reps = 1.5378e-03 1.5473e-03 1.5825e-03   1-corr = 0.0628
net 303 layer 21: v_l reps = 1.4269e-03 1.0823e-03 1.1987e-03   1-corr = 0.0454
net 303 layer 22: v_l reps = 1.6079e-03 2.4359e-03 1.0603e-03   1-corr = 0.0448
net 303 layer 23: v_l reps = 5.5726e-04 1.0293e-03 1.8561e-03   1-corr = 0.0378
net 303 layer 24: v_l reps = 1.0708e-03 7.1012e-04 1.2223e-03   1-corr = 0.0335
net 303 layer 25: v_l reps = 1.2329e-03 1.3182e-03 8.8266e-04   1-corr = 0.0304
net 303 layer 26: v_l reps = 8.2513e-04 1.4151e-03 8.1530e-04   1-corr = 0.0330
net 303 layer 27: v_l reps = 3.6673e-04 1.1192e-03 4.8257e-04   1-corr = 0.0243
net 303 layer 28: v_l reps = 3.9718e-04 7.6005e-04 5.5613e-04   1-corr = 0.0207
net 303 layer 29: v_l reps = 3.8698e-04 2.9421e-04 2.3850e-04   1-corr = 0.0127
net 303 layer 30: v_l reps = 5.2202e-04 3.8759e-04 4.6991e-04   1-corr = 0.0080
net 303 layer 31: v_l reps = 3.4323e-04 2.4738e-04 1.2246e-04   1-corr = 0.0057
net 303: var(r)=1.1431e-02  dev-vs-flat max=21.50  dev-vs-refinement max=8.06  top5=[0, 1, 2, 3, 4] share=0.511  last3 share=0.006  (41.4s)

VERDICT: FAIL-PASS / NOT-KILLED (coherent structure deviating from the fixed-point mean-field profile)
coherence (mean pairwise Spearman) = 0.9877
identity cross-check max rel err = 2.55e-14
bitwise repeat ok = True
results written to C:\Users\strid\Documents\Codex\2026-08-02\https-chatgpt-com-share-6a5556ed-2e1c\publish\recursive-estimator-folding\corpus\whestbench\experiments\s8_layer_profile\s8_results.json  (110.9s total)
